Left Side Player,Loser,Loser ELO Update,Right Side Player,Time,Winner,Winner ELO Update
M2,Chris,1376.96,Chris,9/27/18 15:23,M2,1523.04
Chris,Chris,1375.24,SunChow,9/27/18 15:23,SunChow,2001.72
MP,M2,1519.18,M2,9/27/18 15:24,MP,2003.86
Carts,D$,1784.62,D$,9/27/18 15:24,Carts,2015.38
SunChow,SunChow,1978.54,PPJ,9/27/18 15:25,PPJ,2123.18
Ali,Spidey,1784.62,Spidey,9/27/18 15:25,Ali,2015.38
Chris,M2,1474.63,M2,9/27/18 15:26,Chris,1419.79
Chris,Chris,1417.32,SunChow,9/27/18 15:27,SunChow,1981.01
D$,D$,1752.62,Spidey,9/27/18 15:28,Spidey,1816.62
Carts,Carts,1993,PPJ,9/27/18 15:28,PPJ,2145.56
Ali,Ali,1982.32,MP,9/27/18 15:29,MP,2036.92
Carts,Spidey,1799.6,Spidey,9/27/18 15:30,Carts,2010.02
Ali,SunChow,1949.13,SunChow,9/27/18 15:30,Ali,2014.2
MP,MP,2014.61,PPJ,9/27/18 15:31,PPJ,2167.87
Ali,Ali,1981.82,Carts,9/27/18 15:32,Carts,2042.4
MP,MP,1985.16,Carts,9/27/18 15:32,Carts,2071.85
M2,M2,1473.47,PPJ,9/27/18 18:20,PPJ,2169.03
Carts,Chris,1415.87,Chris,9/27/18 18:21,Carts,2073.3
MP,Spidey,1783.23,Spidey,9/27/18 18:22,MP,2001.53
Ali,D$,1739.12,D$,9/27/18 18:22,Ali,1995.32
M2,M2,1462.07,D$,9/27/18 18:23,D$,1750.52
Spidey,Chris,1408.98,Chris,9/27/18 18:24,Spidey,1790.12
PPJ,Carts,2049.9,Carts,9/27/18 18:25,PPJ,2192.43
Ali,MP,1968.96,MP,9/27/18 18:25,Ali,2027.89
D$,Carts,1995.59,Carts,9/27/18 18:26,D$,1804.83
MP,Spidey,1773.28,Spidey,9/27/18 18:28,MP,1985.8
MP,MP,1938.49,D$,9/27/18 18:28,D$,1852.14
Ali,Ali,2010,PPJ,9/27/18 18:29,PPJ,2210.32
Ali,Ali,1964.38,D$,9/27/18 18:30,D$,1897.76
M1,Alex,1354.98,Alex,10/1/18 17:55,M1,1295.02
SunChow,SunChow,1912.63,RonRon,10/1/18 17:55,RonRon,1936.5
PPJ,M1,1294.69,M1,10/1/18 17:56,PPJ,2210.65
MP,Fonz,1495.25,Fonz,10/1/18 17:57,MP,1943.24
Jodie,Jodie,999.75,Ali,10/1/18 17:57,Ali,1964.63
SunChow,Alex,1352.5,Alex,10/1/18 17:58,SunChow,1915.11
MP,RonRon,1905.12,RonRon,10/1/18 17:58,MP,1974.62
M1,M1,1292.94,SunChow,10/1/18 17:59,SunChow,1916.86
RonRon,RonRon,1874.2,SunChow,10/1/18 18:00,SunChow,1947.78
Fonz,Jodie,996.26,Jodie,10/1/18 18:01,Fonz,1498.74
PPJ,Ali,1952.13,Ali,10/1/18 18:01,PPJ,2223.15
